식품명,식품대분류명,영양성분함량기준량,에너지(kcal)
토스트(식빵),빵 및 과자류,100ml,84
트위스터 샌드위치,빵 및 과자류,100ml,56
파운드케이크,빵 및 과자류,100ml,226
햄샌드위치,빵 및 과자류,100ml,185
간자장,면 및 만두류,100ml,155
간자장_해물,면 및 만두류,100ml,151
국수,면 및 만두류,100ml,56
국수_열무김치,면 및 만두류,100ml,59
냉면_물냉면,면 및 만두류,100ml,96
떡국_굴,면 및 만두류,100ml,90
떡국_달걀,면 및 만두류,100ml,85
떡국_소고기_달걀,면 및 만두류,100ml,87
떡국_모듬,면 및 만두류,100ml,86
떡만두국_고기만두,면 및 만두류,100ml,90
떡만두국_김치만두,면 및 만두류,100ml,87
라면,면 및 만두류,100ml,79
라면_김치,면 및 만두류,100ml,85
라면_달걀,면 및 만두류,100ml,95
오징어 덮밥_채소,밥류,100ml,91
옥수수밥,밥류,100ml,113
완두콩밥,밥류,100ml,114
유부 초밥,밥류,100ml,199
육회비빔밥,밥류,100ml,115
장어 덮밥,밥류,100ml,95
장어 초밥,밥류,100ml,95
팥밥,밥류,100ml,140
해물 덮밥,밥류,100ml,78
혼합잡곡밥,밥류,100ml,118
계란빵,빵 및 과자류,100ml,158
츄러스,빵 및 과자류,100ml,185
피자,빵 및 과자류,100ml,153
햄버거_돼지고기,빵 및 과자류,100ml,204
햄버거_치킨,빵 및 과자류,100ml,123
호떡,빵 및 과자류,100ml,147
감자샐러드 샌드위치,빵 및 과자류,100ml,108
소고기 샌드위치,빵 및 과자류,100ml,203
메기 매운탕,찌개 및 전골류,100ml,59
회덮밥_참치,밥류,100ml,108
흑미밥,밥류,100ml,120
강낭콩밥,밥류,100ml,111
검정콩밥,밥류,100ml,136
굴 국밥,밥류,100ml,63
굴밥,밥류,100ml,122
김치 볶음밥_모듬,밥류,100ml,130
낙지 덮밥,밥류,100ml,92
낙지 비빔밥,밥류,100ml,88
닭고기 덮밥,밥류,100ml,89
돼지머리국밥,밥류,100ml,72
모듬 김밥,밥류,100ml,113
모듬 초밥,밥류,100ml,189
무밥,밥류,100ml,177
버섯 덮밥,밥류,100ml,101
비빔 잡곡밥,밥류,100ml,138
소고기 국밥,밥류,100ml,66
양송이 덮밥,밥류,100ml,93
열무 비빔밥,밥류,100ml,84
잡곡밥_현미,밥류,100ml,132
잡채밥,밥류,100ml,113
잡탕밥,밥류,100ml,115
주먹밥,밥류,100ml,135
주먹밥_배추김치,밥류,100ml,106
주먹밥_참치,밥류,100ml,131
짜장밥,밥류,100ml,93
짬뽕밥,밥류,100ml,48
차조밥,밥류,100ml,120
참치덮밥,밥류,100ml,108
참치회덮밥_양념장,밥류,100ml,76
충무김밥,밥류,100ml,128
카레라이스_돼지고기,밥류,100ml,90
카레라이스_소고기,밥류,100ml,113
카레라이스_채소,밥류,100ml,95
콩나물 국밥,밥류,100ml,60
콩나물 국밥,밥류,100ml,59
콩나물밥_돼지고기,밥류,100ml,91
현미밥,밥류,100ml,120
볶음밥_참치,밥류,100ml,120
볶음밥_채소,밥류,100ml,115
볶음밥_해물,밥류,100ml,106
볶음밥_맛살,밥류,100ml,134
비빔밥,밥류,100ml,133
비빔밥_묵_양념장,밥류,100ml,96
비빔밥_참치_양념장,밥류,100ml,100
삼각김밥,밥류,100ml,185
수수밥,밥류,100ml,122
알밥,밥류,100ml,86
영양돌솥밥,밥류,100ml,119
오곡밥,밥류,100ml,144
오므라이스,밥류,100ml,117
우럭회덮밥_양념장,밥류,100ml,67
율무밥,밥류,100ml,118
잡곡밥,밥류,100ml,131
잡곡밥_보리,밥류,100ml,137
잡곡밥_보리_흑미,밥류,100ml,135
잡곡밥_서리태,밥류,100ml,134
김밥_참치,밥류,100ml,128
김밥_참치_고추,밥류,100ml,119
김밥_참치_김치,밥류,100ml,125
김밥_채소,밥류,100ml,102
김밥_치즈,밥류,100ml,122
김밥_고추,밥류,100ml,94
김밥_샐러리,밥류,100ml,130
넙치(광어)회덮밥_양념장,밥류,100ml,77
누룽지,밥류,100ml,87
돌솥 비빔밥,밥류,100ml,101
돌솥 비빔밥_양념장,밥류,100ml,86
묵밥,밥류,100ml,70
보리밥,밥류,100ml,117
볶음밥_계란,밥류,100ml,164
볶음밥_김치_돼지고기,밥류,100ml,110
볶음밥_돼지고기,밥류,100ml,113
볶음밥_배추김치_참치,밥류,100ml,105
볶음밥_새우,밥류,100ml,105
볶음밥_소고기,밥류,100ml,114
커피_카페모카,음료 및 차류,100g,72
커피_카푸치노,음료 및 차류,100g,54
고구마_밤고구마_삶은것,"곡류, 서류 제품",100g,132
팝콘,"곡류, 서류 제품",100g,511
팝콘_카라멜,"곡류, 서류 제품",100g,479
달걀_삶은것,수·조·어·육류,100g,150
달걀_삶은것_노른자,수·조·어·육류,100g,358
달걀_삶은것_흰자,수·조·어·육류,100g,48
대구포,수·조·어·육류,100g,141
계란 덮밥,밥류,100ml,169
곤드레밥,밥류,100ml,124
기장밥,밥류,100ml,129
김밥_계란,밥류,100ml,97
김밥_김치,밥류,100ml,109
김밥_날치알,밥류,100ml,104
김밥_돈가스,밥류,100ml,148
김밥_멸치_고추,밥류,100ml,122
김밥_샐러드,밥류,100ml,117
김밥_소고기,밥류,100ml,108
과ㆍ채주스_딸기_바나나,음료 및 차류,100g,54
과ㆍ채주스_사과_당근,음료 및 차류,100g,38
과ㆍ채주스_해독주스_착즙형,음료 및 차류,100g,44
과ㆍ채주스_혼합과일 주스,음료 및 차류,100g,59
라떼_그린티,음료 및 차류,100g,76
라떼_바닐라,음료 및 차류,100g,72
레몬청차,음료 및 차류,100g,60
밀크티_블랙,음료 및 차류,100g,49
밀크티_초콜릿,음료 및 차류,100g,76
밀크티_타로,음료 및 차류,100g,102
밀크티_흑당,음료 및 차류,100g,94
식혜,음료 및 차류,100g,87
액상커피_커피가루_설탕_크림(중량12g),음료 및 차류,100g,51
액상커피_커피가루_설탕(중량2.7g),음료 및 차류,100g,17
액상커피_커피가루(중량1g),음료 및 차류,100g,4
커피_달고나커피,음료 및 차류,100g,111
커피_아메리카노,음료 및 차류,100g,4
커피_카라멜마끼아토,음료 및 차류,100g,81
커피_카페라떼,음료 및 차류,100g,57
게장_양념,젓갈류,100g,111
명란젓_양념,젓갈류,100g,147
조개젓_양념,젓갈류,100g,103
고추장아찌,장아찌·절임류,100g,124
마늘쫑장아찌,장아찌·절임류,100g,118
마늘쫑장아찌_간장,장아찌·절임류,100g,60
마늘쫑장아찌_고추장,장아찌·절임류,100g,110
매실장아찌,장아찌·절임류,100g,243
무장아찌,장아찌·절임류,100g,80
오이지,장아찌·절임류,100g,29
소스/드레싱_간편조리세트_오야꼬동 (밥제외),"장류, 양념류",100g,116
카레소스_간편조리세트_키마카레&치즈키마카레,"장류, 양념류",100g,136
밀크쉐이크_바닐라,유제품류 및 빙과류,100ml,113
빙수_인절미_우유얼음,유제품류 및 빙과류,100g,141
빙수_팥_우유얼음,유제품류 및 빙과류,100g,146
아이스크림_썬대,유제품류 및 빙과류,100g,196
우유_딸기,유제품류 및 빙과류,100ml,73
과ㆍ채주스_당근,음료 및 차류,100g,29
동치미,김치류,100g,11
배추김치,김치류,100g,38
배추김치_가을재배,김치류,100g,37
배추김치_봄재배,김치류,100g,39
배추김치_여름재배,김치류,100g,38
백김치,김치류,100g,16
부추김치,김치류,100g,71
얼갈이배추김치,김치류,100g,30
열무김치,김치류,100g,36
열무물김치,김치류,100g,18
열무얼갈이김치,김치류,100g,35
오이소박이,김치류,100g,37
오이소박이,김치류,100g,37
유채김치,김치류,100g,62
유채물김치,김치류,100g,17
총각김치,김치류,100g,42
파김치,김치류,100g,49
게장_간장,젓갈류,100g,88
물만두,면 및 만두류,100ml,92
밴댕이무침,생채·무침류,100g,150
부추무침_부추만,생채·무침류,100g,70
상추 겉절이,생채·무침류,100g,64
샐러드_간편조리세트_콥샐러드&시저드레싱,생채·무침류,100g,129
샐러드_고구마,생채·무침류,100g,185
샐러드_양배추_코올슬로,생채·무침류,100g,153
쑥갓나물무침,생채·무침류,100g,64
오이생채,생채·무침류,100g,50
오이생채_오이만,생채·무침류,100g,51
탕평채,생채·무침류,100g,97
파무침,생채·무침류,100g,82
홍어무침,생채·무침류,100g,99
회무침_서대,생채·무침류,100g,105
갓김치,김치류,100g,37
고들빼기김치,김치류,100g,111
고들빼기김치,김치류,100g,68
깍두기,김치류,100g,40
깻잎김치,김치류,100g,83
물냉면_열무,면 및 만두류,100ml,95
미나리나물,나물·숙채류,100g,59
세발나물무침,나물·숙채류,100g,78
우거지나물무침,나물·숙채류,100g,86
취나물무침,나물·숙채류,100g,148
골뱅이무침,생채·무침류,100g,109
냉채_해파리,생채·무침류,100g,61
노각무침,생채·무침류,100g,56
단무지무침,생채·무침류,100g,40
달래무침,생채·무침류,100g,91
더덕무침,생채·무침류,100g,144
도라지생채,생채·무침류,100g,119
무말랭이무침,생채·무침류,100g,131
무말랭이무침,생채·무침류,100g,131
묵무침_도토리묵,생채·무침류,100g,46
묵무침_청포묵,생채·무침류,100g,60
물회,생채·무침류,100g,76
물회_생선,생채·무침류,100g,72
미역초무침,생채·무침류,100g,63
배추 겉절이,생채·무침류,100g,43
라조기,튀김류,100g,199
멘보샤,튀김류,100g,289
미꾸라지튀김,튀김류,100g,387
복어튀김,튀김류,100g,320
북어강정_고추장양념,튀김류,100g,379
생선까스,튀김류,100g,327
양파링튀김,튀김류,100g,411
쥐포튀김,튀김류,100g,357
치즈볼,튀김류,100g,333
치즈스틱,튀김류,100g,329
치즈스틱,튀김류,100g,329
치킨가스,튀김류,100g,296
탕수육_간편조리세트_김치피자탕수육,튀김류,100g,227
난자완스,튀김류,100g,173
고구마줄기나물,나물·숙채류,100g,97
깻잎나물,나물·숙채류,100g,146
깻잎나물볶음,나물·숙채류,100g,103
머위나물무침,나물·숙채류,100g,85
물냉면,면 및 만두류,100ml,96
김말이튀김,튀김류,100g,195
김말이튀김,튀김류,100g,245
깐풍새우,튀김류,100g,240
닭모래집튀김,튀김류,100g,312
닭튀김,튀김류,100g,301
닭튀김_다리(넓적다리),튀김류,100g,277
닭튀김_다리(아랫다리),튀김류,100g,268
닭튀김_닭가슴살,튀김류,100g,252
닭튀김_목,튀김류,100g,330
닭튀김_살코기,튀김류,100g,289
닭튀김_너겟,튀김류,100g,332
닭튀김_양념,튀김류,100g,276
돈가스_간편조리세트_부타이로스카츠 (통등심돈가스),튀김류,100g,262
돈가스,튀김류,100g,280
돈가스_고구마,튀김류,100g,317
돈가스_돼지등심,튀김류,100g,312
돈가스_돼지안심,튀김류,100g,326
돈가스_치즈,튀김류,100g,302
모밀국수,면 및 만두류,100ml,86
주꾸미삼겹살,볶음류,100g,161
해물볶음,볶음류,100g,105
가자미조림,조림류,100g,99
고등어조림,조림류,100g,108
고추조림,조림류,100g,111
닭볶음탕_간편조리세트_곱도리탕,조림류,100g,107
동태조림,조림류,100g,110
북어조림,조림류,100g,182
연근조림,조림류,100g,261
장조림_돼지고기_메추리알,조림류,100g,127
장조림_소고기_메추리알,조림류,100g,121
장조림_우엉,조림류,100g,149
조기조림,조림류,100g,128
콩조림(콩자반),조림류,100g,271
감자튀김_간편조리세트_몬스터 치즈 프라이,튀김류,100g,269
고구마맛탕,튀김류,100g,246
고구마튀김,튀김류,100g,253
고추튀김,튀김류,100g,202
만두탕수,면 및 만두류,100ml,95
멸치볶음_풋고추,볶음류,100g,262
미역줄기볶음,볶음류,100g,89
버섯볶음_양송이버섯,볶음류,100g,91
버섯볶음_표고버섯,볶음류,100g,95
소고기볶음_간편조리세트_차돌박이숙주볶음,볶음류,100g,193
소시지볶음,볶음류,100g,236
순대볶음_간편조리세트_매콤 깻잎 순대볶음,볶음류,100g,166
순대볶음_간편조리세트_신림동 백순대볶음,볶음류,100g,210
순대볶음_간편조리세트_신림동 백순대볶음,볶음류,100g,150
순대볶음,볶음류,100g,146
순대볶음_백순대,볶음류,100g,196
오징어볶음,볶음류,100g,120
오징어채볶음,볶음류,100g,275
잔멸치볶음,볶음류,100g,330
잡채_간편조리세트_소고기 버섯 잡채,볶음류,100g,105
잡채_간편조리세트_소고기 버섯 잡채,볶음류,100g,153
잡채_고추,볶음류,100g,128
주꾸미볶음,볶음류,100g,106
곱창볶음_돼지껍데기,볶음류,100g,235
김치볶음_김치만,볶음류,100g,132
느타리버섯볶음,볶음류,100g,87
닭모래집볶음,볶음류,100g,176
닭볶음(닭갈비)_간편조리세트_모짜렐라 치즈 닭갈비,볶음류,100g,150
닭볶음(닭갈비)_간편조리세트_치즈 품은 닭갈비,볶음류,100g,160
닭볶음(닭갈비)_간편조리세트_치즈이불 닭갈비,볶음류,100g,162
닭볶음(닭갈비),볶음류,100g,149
돼지고기볶음_간편조리세트_돼지고기 숙주 볶음,볶음류,100g,145
돼지고기볶음,볶음류,100g,175
두부김치,볶음류,100g,115
떡볶이_간편조리세트_달콤짭짤 궁중식 떡볶이,볶음류,100g,167
떡볶이_간편조리세트_떡볶이 보통맛,볶음류,100g,161
떡볶이_간편조리세트_소불고기궁중떡볶이,볶음류,100g,118
떡볶이_간편조리세트_호로록 로제 떡볶이,볶음류,100g,184
떡볶이_치즈,볶음류,100g,164
마파두부_간편조리세트_백리향 마파두부,볶음류,100g,129
머위나물볶음,볶음류,100g,72
생선전_동태,전·적 및 부침류,100g,179
소고기산적,전·적 및 부침류,100g,227
소라산적,전·적 및 부침류,100g,150
스크램블드에그,전·적 및 부침류,100g,149
오징어산적,전·적 및 부침류,100g,127
완자전_소고기(동그랑땡/육원전),전·적 및 부침류,100g,206
채소전,전·적 및 부침류,100g,194
파전,전·적 및 부침류,100g,195
해물파전_간편조리세트_모둠해물파전,전·적 및 부침류,100g,205
햄부침,전·적 및 부침류,100g,244
호박전,전·적 및 부침류,100g,139
홍합산적,전·적 및 부침류,100g,196
화양적,전·적 및 부침류,100g,182
감바스_간편조리세트_감바스 알 아히요,볶음류,100g,224
감바스_간편조리세트_감바스 알 아히요,볶음류,100g,303
감바스_간편조리세트_감바스 알 아히요,볶음류,100g,384
감자볶음_감자만,볶음류,100g,134
고추잡채_간편조리세트_고추잡채 꽃빵키트,볶음류,100g,168
황태구이,구이류,100g,219
훈제오리,구이류,100g,319
훈제오리,구이류,100g,259
고추전,전·적 및 부침류,100g,183
굴전,전·적 및 부침류,100g,195
깻잎전,전·적 및 부침류,100g,241
꼬치구치_낙지,전·적 및 부침류,100g,94
녹두빈대떡,전·적 및 부침류,100g,208
달걀말이_달걀만,전·적 및 부침류,100g,210
달걀말이_채소,전·적 및 부침류,100g,183
동태전,전·적 및 부침류,100g,195
두부부침,전·적 및 부침류,100g,144
두부전,전·적 및 부침류,100g,170
미나리전,전·적 및 부침류,100g,151
배추전,전·적 및 부침류,100g,160
버섯전,전·적 및 부침류,100g,160
새우전,전·적 및 부침류,100g,188
생선전_가자미,전·적 및 부침류,100g,154
마늘장아찌,장아찌·절임류,100g,113
돼지불고기_간편조리세트_매콤 콩나물불고기,구이류,100g,191
돼지불고기_삼겹살_오징어,구이류,100g,182
막창구이_소고기,구이류,100g,358
소불고기,구이류,100g,186
스테이크_간편조리세트_그레이프 소스 스테이크,구이류,100g,153
스테이크_간편조리세트_뉴욕스테이크&크림뇨끼,구이류,100g,176
스테이크_간편조리세트_부채살 찹스테이크,구이류,100g,176
스테이크_간편조리세트_파빌리온 양갈비 스테이크,구이류,100g,151
스테이크_간편조리세트_프라임스테이크 부채살,구이류,100g,186
연어구이,구이류,100g,234
오겹살구이_돼지고기,구이류,100g,408
임연수구이,구이류,100g,198
장어구이_붕장어_소금,구이류,100g,297
장어구이_양념,구이류,100g,289
차돌박이구이_소고기,구이류,100g,488
콘치즈구이,구이류,100g,224
함박스테이크_간편조리세트_더블체다 함박스테이크,구이류,100g,189
함박스테이크,구이류,100g,229
해물찜_간편조리세트_낙지한마리해물찜,찜류,100g,88
해물찜_간편조리세트_백합&바지락통찜,찜류,100g,49
해물찜,찜류,100g,80
가자미구이,구이류,100g,151
갈매기살구이_돼지고기,구이류,100g,312
갈비구이_돼지고기,구이류,100g,294
갈비구이_소고기,구이류,100g,309
갈비구이_소고기_양념,구이류,100g,330
갈비구이_왕갈비_양념,구이류,100g,321
갈치구이_기름,구이류,100g,209
꼬치구이_닭고기,구이류,100g,252
꿩불고기,구이류,100g,74
대창구이_소고기,구이류,100g,595
더덕구이,구이류,100g,184
돼지갈비구이_간장,구이류,100g,240
돼지껍데기구이,구이류,100g,348
돼지불고기_간편조리세트_기사식당 돼지불고기,구이류,100g,155
돼지불고기_간편조리세트_대파고추장불고기,구이류,100g,165
닭찜_간편조리세트_안동식 찜닭,찜류,100g,136
닭찜_안동찜닭,찜류,100g,91
대구찜,찜류,100g,75
동태찜,찜류,100g,79
동파육,찜류,100g,191
돼지갈비찜_간편조리세트_국내산순살돼지갈비찜,찜류,100g,120
돼지고기_간,찜류,100g,164
돼지고기_머리고기,찜류,100g,325
돼지고기_허파,찜류,100g,91
돼지등갈비찜,찜류,100g,214
북어찜,찜류,100g,157
붕어찜,찜류,100g,76
수란_중탕,찜류,100g,145
순대,찜류,100g,181
아귀찜_간편조리세트_쫀득쫀득아귀찜,찜류,100g,77
아귀찜,찜류,100g,78
오징어순대,찜류,100g,133
조기찜,찜류,100g,182
족발,찜류,100g,220
청국장찌개_간편조리세트_영월식 청국장,찌개 및 전골류,100g,74
청국장찌개_간편조리세트_우삼겹 청국장찌개,찌개 및 전골류,100g,80
청국장찌개_두부_채소,찌개 및 전골류,100g,79
추어탕,찌개 및 전골류,100g,32
해물탕_간편조리세트_바다를 품은 해물탕,찌개 및 전골류,100g,33
해물탕,찌개 및 전골류,100g,45
해신탕,찌개 및 전골류,100g,57
호박찌개,찌개 및 전골류,100g,32
훠궈_소고기,찌개 및 전골류,100g,93
갈비찜_고춧가루,찜류,100g,172
갈비찜_소고기,찜류,100g,198
김치찜_간편조리세트_돼지고기 김치찜,찜류,100g,97
김치찜_간편조리세트_돼지고기 묵은지찜,찜류,100g,52
깻잎찜,찜류,100g,112
꼬막무침,찜류,100g,107
꼬막찜_참꼬막,찜류,100g,113
달걀찜_달걀만,찜류,100g,108
달걀찜_채소,찜류,100g,89
들깻잎장아찌,장아찌·절임류,100g,124
불고기전골_간편조리세트_서울식 소불고기전골,찌개 및 전골류,100g,104
불고기전골_간편조리세트_서울식 육수불고기,찌개 및 전골류,100g,96
불고기전골_간편조리세트_서울식불고기전골,찌개 및 전골류,100g,41
불고기전골_간편조리세트_서울식불고기전골,찌개 및 전골류,100g,114
불낙전골_간편조리세트_이게불낙이야,찌개 및 전골류,100g,63
샤브샤브_간편조리세트_소고기 샤브샤브,찌개 및 전골류,100g,34
샤브샤브_간편조리세트_소고기스키야키,찌개 및 전골류,100g,76
샤브샤브_간편조리세트_일호식 스키야키,찌개 및 전골류,100g,51
샤브샤브_소고기,찌개 및 전골류,100g,44
소고기전골_간편조리세트_어복쟁반,찌개 및 전골류,100g,37
소고기전골_간편조리세트_파빌리온 얼큰 소고기 전골,찌개 및 전골류,100g,73
소고기전골_간편조리세트_평양식 어복쟁반,찌개 및 전골류,100g,76
순두부찌개_간편조리세트_강릉식 짬뽕 순두부,찌개 및 전골류,100g,42
순두부찌개_간편조리세트_우삼겹 순두부찌개,찌개 및 전골류,100g,43
순두부찌개_간편조리세트_우삼겹 순두부찌개,찌개 및 전골류,100g,47
순두부찌개_간편조리세트_짬뽕순두부찌개,찌개 및 전골류,100g,51
순두부찌개_간편조리세트_해물짬뽕순두부,찌개 및 전골류,100g,53
매운탕_광어,찌개 및 전골류,100g,70
매운탕_대구,찌개 및 전골류,100g,60
매운탕_메기,찌개 및 전골류,100g,67
매운탕_서더리,찌개 및 전골류,100g,30
매운탕_아귀,찌개 및 전골류,100g,43
매운탕_우럭,찌개 및 전골류,100g,68
매운탕_조기,찌개 및 전골류,100g,64
매운탕_짱뚱어,찌개 및 전골류,100g,31
밀푀유나베_간편조리세트_매콤 밀푀유나베,찌개 및 전골류,100g,55
밀푀유나베_간편조리세트_밀푀유나베,찌개 및 전골류,100g,36
밀푀유나베_간편조리세트_밀푀유나베,찌개 및 전골류,100g,41
밀푀유나베_간편조리세트_밀푀유나베,찌개 및 전골류,100g,47
버섯전골_간편조리세트_남도식 들깨 버섯전골,찌개 및 전골류,100g,40
버섯찌개,찌개 및 전골류,100g,42
부대찌개_간편조리세트_오뎅식당 부대찌개,찌개 및 전골류,100g,145
부대찌개_간편조리세트_의정부식부대찌개,찌개 및 전골류,100g,106
부대찌개_간편조리세트_햄듬뿍부대찌개,찌개 및 전골류,100g,94
부대찌개,찌개 및 전골류,100g,67
김치찌개,찌개 및 전골류,100g,61
김치찌개_김치만,찌개 및 전골류,100g,46
김치찌개_햄,찌개 및 전골류,100g,63
꽁치찌개,찌개 및 전골류,100g,118
꽃게탕_간편조리세트_3마리꽃게탕,찌개 및 전골류,100g,26
나베_간편조리세트_통등심가스나베,찌개 및 전골류,100g,170
낙지전골_간편조리세트_낙곱새,찌개 및 전골류,100g,88
돼지고기찌개_간편조리세트_돼지고기 짜글이,찌개 및 전골류,100g,108
돼지고기찌개_간편조리세트_돼지고기고추장찌개,찌개 및 전골류,100g,49
된장찌개_간편조리세트_고깃집 된장찌개,찌개 및 전골류,100g,110
된장찌개_간편조리세트_구수한 버섯된장찌개,찌개 및 전골류,100g,26
된장찌개_우렁_강된장,찌개 및 전골류,100g,136
두부전골,찌개 및 전골류,100g,63
두부찌개_새우젓,찌개 및 전골류,100g,55
마라탕_간편조리세트_마라탕,찌개 및 전골류,100g,88
마라탕,찌개 및 전골류,100g,66
만두전골_간편조리세트_얼큰왕만두전골,찌개 및 전골류,100g,75
만두전골,찌개 및 전골류,100g,57
어탕,국 및 탕류,100g,57
연포탕,국 및 탕류,100g,54
오이냉국,국 및 탕류,100g,19
올갱이국,국 및 탕류,100g,24
전복탕,국 및 탕류,100g,33
조개국_바지락,국 및 탕류,100g,29
지리탕_대구,국 및 탕류,100g,44
지리탕_복,국 및 탕류,100g,39
초당순두부,국 및 탕류,100g,58
해장국_뼈다귀,국 및 탕류,100g,71
해장국_선지,국 및 탕류,100g,31
해장국_우거지,국 및 탕류,100g,26
홍합탕_홍합만,국 및 탕류,100g,29
황태해장국,국 및 탕류,100g,30
무국물,국 및 탕류,100g,3
고등어찌개,찌개 및 전골류,100g,100
곱창전골_간편조리세트_대한곱창 곱창전골,찌개 및 전골류,100g,140
곱창전골_간편조리세트_소곱창순대전골,찌개 및 전골류,100g,75
곱창전골_소고기,찌개 및 전골류,100g,88
된장국_감자,국 및 탕류,100g,40
된장국_무,국 및 탕류,100g,23
된장국_시금치,국 및 탕류,100g,21
된장국_시래기,국 및 탕류,100g,22
된장국_우렁,국 및 탕류,100g,49
매생이국,국 및 탕류,100g,24
무국_소고기,국 및 탕류,100g,31
묵말이_도토리묵,국 및 탕류,100g,36
미소된장국,국 및 탕류,100g,25
미역국_굴,국 및 탕류,100g,17
미역국_바지락,국 및 탕류,100g,9
미역국_북어,국 및 탕류,100g,19
미역국_참치,국 및 탕류,100g,19
미역국_홍합,국 및 탕류,100g,26
새우탕_간편조리세트_전복민물새우탕,국 및 탕류,100g,56
소탕,국 및 탕류,100g,58
순대국,국 및 탕류,100g,68
아구탕,국 및 탕류,100g,41
어묵국(어묵탕)_간편조리세트_프리미엄 이자카야어묵탕,국 및 탕류,100g,69
쌀죽(흰죽)_삼광,죽 및 스프류,100g,53
쌀죽(흰죽)_새일미,죽 및 스프류,100g,55
쌀죽(흰죽)_신동진,죽 및 스프류,100g,53
쌀죽(흰죽)_오대,죽 및 스프류,100g,52
쌀죽(흰죽)_칠분도미,죽 및 스프류,100g,68
어죽,죽 및 스프류,100g,69
율무죽,죽 및 스프류,100g,77
잣죽,죽 및 스프류,100g,125
참깨죽,죽 및 스프류,100g,38
참치죽,죽 및 스프류,100g,82
채소죽,죽 및 스프류,100g,70
현미죽,죽 및 스프류,100g,64
감자국,국 및 탕류,100g,32
게국지,국 및 탕류,100g,38
곰치국,국 및 탕류,100g,42
곰탕,국 및 탕류,100g,61
김치국,국 및 탕류,100g,20
낙지탕,국 및 탕류,100g,31
달걀국,국 및 탕류,100g,39
칼국수_해물,면 및 만두류,100g,70
콩국수,면 및 만두류,100g,100
탄탄면_간편조리세트_마라 탄탄면,면 및 만두류,100g,174
팟타이_간편조리세트_비프 팟타이,면 및 만두류,100g,231
팟타이,면 및 만두류,100g,146
게살죽,죽 및 스프류,100g,71
깨죽,죽 및 스프류,100g,64
미음,죽 및 스프류,100g,19
미음_칠분도미,죽 및 스프류,100g,20
미음_현미,죽 및 스프류,100g,19
백합죽,죽 및 스프류,100g,65
소고기버섯죽,죽 및 스프류,100g,72
스프_감자,죽 및 스프류,100g,98
스프_소고기,죽 및 스프류,100g,40
스프_양송이버섯,죽 및 스프류,100g,42
스프_크림,죽 및 스프류,100g,45
스프_옥수수,죽 및 스프류,100g,46
쌀죽(흰죽),죽 및 스프류,100g,53
쌀죽(흰죽),죽 및 스프류,100g,52
울면,면 및 만두류,100g,73
월남쌈_간편조리세트_불고기월남쌈,면 및 만두류,100g,150
월남쌈_간편조리세트_소고기야채말이,면 및 만두류,100g,116
월남쌈_간편조리세트_훈제오리월남쌈,면 및 만두류,100g,111
자장면,면 및 만두류,100g,123
자장면_삼선,면 및 만두류,100g,115
짬뽕_간편조리세트_나가사키 짬뽕탕,면 및 만두류,100g,62
짬뽕_간편조리세트_통오징어짬뽕탕,면 및 만두류,100g,56
짬뽕_굴,면 및 만두류,100g,76
짬뽕_백짬뽕,면 및 만두류,100g,63
짬뽕_삼선,면 및 만두류,100g,74
짬뽕_차돌박이,면 및 만두류,100g,88
칼국수_간편조리세트_닭한마리와 칼국수,면 및 만두류,100g,94
칼국수_간편조리세트_세숫대야 바지락칼국수,면 및 만두류,100g,74
칼국수_간편조리세트_원주식장칼국수,면 및 만두류,100g,78
칼국수_간편조리세트_장칼국수,면 및 만두류,100g,80
칼국수_닭고기,면 및 만두류,100g,74
칼국수_들깨,면 및 만두류,100g,76
스파게티_간편조리세트_트러플 크림 파스타,면 및 만두류,100g,152
스파게티_간편조리세트_할라피뇨베이컨파스타,면 및 만두류,100g,200
스파게티_간편조리세트_핫매콤크림파스타,면 및 만두류,100g,179
스파게티_간편조리세트_해장파스타,면 및 만두류,100g,98
스파게티_까르보나라소스,면 및 만두류,100g,235
스파게티_로제소스,면 및 만두류,100g,171
스파게티_오일소스,면 및 만두류,100g,162
스파게티_크림소스,면 및 만두류,100g,209
스파게티_토마토소스,면 및 만두류,100g,129
스파게티_해물_크림소스,면 및 만두류,100g,184
스파게티_해물_토마토소스,면 및 만두류,100g,117
쌀국수,면 및 만두류,100g,53
올갱이국수,면 및 만두류,100g,38
우동_간편조리세트_쫄우동,면 및 만두류,100g,99
우동_김치,면 및 만두류,100g,63
우동_삼선,면 및 만두류,100g,69
우동_일식,면 및 만두류,100g,60
우동_중식,면 및 만두류,100g,65
비빔국수,면 및 만두류,100g,113
비빔국수,면 및 만두류,100g,113
비빔면_간편조리세트_매콤제육비빔면,면 및 만두류,100g,153
수제비_간편조리세트_들깨버섯 수제비,면 및 만두류,100g,83
수제비_간편조리세트_우삼겹 짬뽕 수제비,면 및 만두류,100g,110
수제비_간편조리세트_해물 백짬뽕 수제비,면 및 만두류,100g,79
스파게티_간편조리세트_감바스알리오올리오,면 및 만두류,100g,171
스파게티_간편조리세트_바질크림 빠네 파스타,면 및 만두류,100g,215
스파게티_간편조리세트_베이컨까르보나라,면 및 만두류,100g,159
스파게티_간편조리세트_볼로네제라구파스타,면 및 만두류,100g,179
스파게티_간편조리세트_쉬림프 로제파스타,면 및 만두류,100g,144
스파게티_간편조리세트_쉬림프 로제파스타,면 및 만두류,100g,172
